epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.0837,1.88774,3.92611,1.77523,0.00253,0.40989,0.04417,0.0142,2.4485,5.13446,2.12716,0.00024293,0.00024293,0.00024293
2,87.4332,1.61763,3.28664,1.57472,0.00186,0.37002,0.11206,0.04934,2.60743,5.27446,2.54268,0.000480344,0.000480344,0.000480344
3,232.622,1.55275,2.89398,1.51297,0.00193,0.32695,0.05498,0.02201,2.81196,5.06361,2.82803,0.000697386,0.000697386,0.000697386
4,479.536,1.55852,2.7058,1.53925,0.00218,0.38278,0.02553,0.0056,2.74011,5.05313,2.73722,0.000894057,0.000894057,0.000894057
5,538.239,1.53998,2.54385,1.50269,0.46784,0.06167,0.10131,0.02954,2.83695,4.99037,2.73701,0.00107036,0.00107036,0.00107036
6,575.622,1.43862,2.53605,1.43714,0.98173,0.06061,0.0875,0.04684,2.85301,4.90419,3.27353,0.00114606,0.00114606,0.00114606
7,615.953,1.50443,2.35649,1.48999,0.49633,0.07815,0.04569,0.02924,2.77705,16.4527,3.62394,0.00108947,0.00108947,0.00108947
8,656.915,1.49378,2.31482,1.48324,0.14098,0.11324,0.06823,0.0199,2.91416,17.0958,4.0115,0.00103288,0.00103288,0.00103288
9,698.833,1.31682,2.17479,1.3781,0.36813,0.10845,0.06779,0.02568,2.91463,7.84766,4.20582,0.000976293,0.000976293,0.000976293
10,741.262,1.23286,2.01123,1.30891,0.26983,0.30626,0.19504,0.06807,2.9417,8.09191,3.1706,0.000919704,0.000919704,0.000919704
11,784.23,1.30668,2.13929,1.36727,0.14353,0.06061,0.06481,0.01055,3.14193,5.16259,3.35352,0.000863116,0.000863116,0.000863116
12,826.202,1.2991,1.96513,1.3465,0.43714,0.10845,0.09149,0.02084,2.77961,5.09051,2.92218,0.000806528,0.000806528,0.000806528
13,868.023,1.25705,1.89471,1.30715,0.27273,0.28817,0.16227,0.05898,2.52389,4.07878,2.54718,0.000749939,0.000749939,0.000749939
14,909.848,1.17563,1.69789,1.24623,0.23828,0.28161,0.22258,0.06786,2.65421,4.06837,2.75972,0.000693351,0.000693351,0.000693351
15,950.197,1.23403,1.85448,1.29351,0.36332,0.35247,0.21468,0.06868,2.61436,3.90955,2.77333,0.000636762,0.000636762,0.000636762
16,991.267,1.1911,2.02567,1.2581,0.41557,0.14833,0.07442,0.02094,2.67152,4.8532,2.81351,0.000580174,0.000580174,0.000580174
17,1034.22,1.2717,2.10865,1.33903,0.09658,0.26156,0.10569,0.03836,2.61636,4.34492,2.79661,0.000523586,0.000523586,0.000523586
18,1077.53,1.19288,1.8819,1.28235,0.32282,0.22492,0.25794,0.06572,2.45669,3.7641,2.51126,0.000466997,0.000466997,0.000466997
19,1119.83,1.15029,1.74685,1.24253,0.72302,0.28531,0.28124,0.07934,2.39596,3.80886,2.49269,0.000410409,0.000410409,0.000410409
20,1160.53,1.13403,1.79479,1.24775,0.46888,0.4367,0.36842,0.13547,2.32365,3.31846,2.41613,0.00035382,0.00035382,0.00035382
21,1198.59,1.15212,1.78367,1.27233,0.38878,0.46093,0.38446,0.16394,2.19291,3.23064,2.11317,0.000297232,0.000297232,0.000297232
22,1238.59,1.13405,1.78455,1.23948,0.31004,0.47235,0.28504,0.11067,2.20571,3.3473,2.20527,0.000240644,0.000240644,0.000240644
23,1276.59,1.05355,1.65773,1.20213,0.31713,0.39553,0.31104,0.11722,2.20078,3.31139,2.18127,0.000184055,0.000184055,0.000184055
24,1318.75,1.05624,1.63418,1.2208,0.52291,0.349,0.37963,0.15316,2.16644,3.15909,2.22794,0.000127467,0.000127467,0.000127467
25,1358.49,1.08175,1.63177,1.23158,0.55285,0.39553,0.42009,0.16398,2.14705,3.10521,2.17142,7.08784e-05,7.08784e-05,7.08784e-05
