epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.009,1.4659,11.9062,1.29227,0.75273,0.0303,0.05874,0.00816,2.60307,4.68488,2.23799,0.000254065,0.000254065,0.000254065
2,473.647,1.44775,11.7457,1.29844,0.18048,0.25997,0.14098,0.04683,2.76102,3.97981,2.32086,0.000493555,0.000493555,0.000493555
3,703.075,1.57176,12.109,1.43244,0.11253,0.15152,0.06461,0.01635,2.99547,4.19402,2.77571,0.000716127,0.000716127,0.000716127
4,928.753,1.53798,9.36895,1.37669,0.38478,0.2448,0.1796,0.06531,2.74683,3.59911,2.88002,0.000692869,0.000692869,0.000692869
5,1153.89,1.68524,8.52894,1.4754,0.01888,0.52153,0.0867,0.02502,3.10204,4.10009,2.84419,0.000667492,0.000667492,0.000667492
6,1375.32,1.49837,6.12073,1.45788,0.73714,0.06061,0.05538,0.01318,3.06604,3.85968,2.71531,0.000642115,0.000642115,0.000642115
7,1589.76,1.56908,5.62609,1.44324,0.26782,0.1866,0.15872,0.0508,2.81323,3.4078,2.56044,0.000616738,0.000616738,0.000616738
8,1802.84,1.38075,4.76573,1.36427,0.41883,0.32536,0.24636,0.08841,2.92981,3.60939,4.54995,0.000591361,0.000591361,0.000591361
9,2009.83,1.35323,4.37103,1.25746,0.9038,0.24242,0.29095,0.13338,2.75523,3.14375,2.66717,0.000565984,0.000565984,0.000565984
10,2221.95,1.41972,3.29578,1.41805,0.03093,0.41627,0.06197,0.02036,2.98707,4.09038,2.80446,0.000540607,0.000540607,0.000540607
11,2433.42,1.36381,3.46796,1.34232,0.73529,0.21212,0.23589,0.10632,2.59829,3.29001,2.44838,0.00051523,0.00051523,0.00051523
12,2647.54,1.35475,3.09619,1.35532,0.38953,0.32536,0.28716,0.12313,2.75269,2.95368,2.63183,0.000489853,0.000489853,0.000489853
13,2859.15,1.23137,2.53078,1.2561,0.56518,0.30454,0.25996,0.09829,2.7796,3.0575,2.71043,0.000464476,0.000464476,0.000464476
14,3070.36,1.26135,2.70118,1.2762,0.36184,0.22967,0.22934,0.08716,2.81784,3.4479,2.62283,0.000439099,0.000439099,0.000439099
15,3284.02,1.21792,2.70068,1.24779,0.32116,0.30781,0.25322,0.09812,2.84402,3.12274,2.73806,0.000413722,0.000413722,0.000413722
16,3503.09,1.25352,2.25903,1.22245,0.46179,0.36853,0.28473,0.09783,2.60121,2.71384,2.56431,0.000388345,0.000388345,0.000388345
17,3719.55,1.23299,2.25538,1.27043,0.68942,0.23442,0.32897,0.13444,2.52059,2.73447,2.47369,0.000362968,0.000362968,0.000362968
18,3932.98,1.18934,1.98708,1.23717,0.55482,0.36421,0.35872,0.14189,2.48057,2.75008,2.31994,0.000337591,0.000337591,0.000337591
19,4138.72,1.19023,1.91731,1.24358,0.61476,0.34497,0.36022,0.11202,2.53226,2.91549,2.45598,0.000312214,0.000312214,0.000312214
20,4342.54,1.28638,1.88355,1.2826,0.63239,0.29196,0.3794,0.13317,2.616,2.77288,2.51267,0.000286837,0.000286837,0.000286837
21,4542.86,0.876,1.9922,0.98148,0.49617,0.33231,0.32486,0.1423,2.65004,3.30947,2.60782,0.00026146,0.00026146,0.00026146
22,4768.06,0.88305,1.72385,1.02921,0.60564,0.29006,0.36843,0.16956,2.43122,3.54145,2.3905,0.000236083,0.000236083,0.000236083
23,4989.25,0.94703,1.54264,1.08971,0.62334,0.35185,0.42504,0.14843,2.41389,2.66194,2.38412,0.000210706,0.000210706,0.000210706
24,5212.96,0.89879,1.49895,1.01833,0.47,0.35765,0.3406,0.16235,2.48348,3.05325,2.44312,0.000185329,0.000185329,0.000185329
25,5433.24,0.80651,1.38738,0.9537,0.60517,0.36259,0.36849,0.15069,2.37514,3.26767,2.31433,0.000159952,0.000159952,0.000159952
26,5656.93,0.85707,1.39161,1.01258,0.59024,0.45011,0.40066,0.15675,2.42892,3.03454,2.37048,0.000134575,0.000134575,0.000134575
27,5882.77,0.78005,1.23182,0.94294,0.5807,0.37881,0.3407,0.15131,2.49805,3.17877,2.39176,0.000109198,0.000109198,0.000109198
28,6108.89,0.8767,1.20136,0.98068,0.71399,0.34293,0.45151,0.19526,2.41158,2.74035,2.30745,8.3821e-05,8.3821e-05,8.3821e-05
29,6336.71,0.77427,1.16347,0.90463,0.73139,0.33568,0.42201,0.18634,2.30337,2.85674,2.24966,5.8444e-05,5.8444e-05,5.8444e-05
30,6554.84,0.72589,1.23166,0.87514,0.68097,0.38225,0.41824,0.1912,2.29238,2.94322,2.25696,3.3067e-05,3.3067e-05,3.3067e-05
